agent,episode,trial,deck,true_reward,perceived_reward,temperature,expl_rate,rpe,dopamine,cumulative_true_reward,cumulative_perceived_reward,win_stay,lose_shift,condition,seed
48,6,5,0,100.0,119.52276992799982,0.44518523094569207,0.22506930631405345,55.48692577557643,1.1904553985599964,450.0,515.7795103193665,False,False,overactive,4
48,6,6,3,-200.0,-340.6201214212716,0.43429070434560085,0.2248442370077394,-62.41936860070272,1.1672443068863265,250.0,175.1593888980949,False,False,overactive,4
48,6,7,3,50.0,60.0,0.4398613663472816,0.22461939277073165,16.380000000000003,1.2,300.0,235.1593888980949,False,False,overactive,4
48,6,8,3,50.0,60.0,0.432,0.2243947733779609,27.67150410346311,1.2,350.0,295.1593888980949,True,False,overactive,4
48,6,9,1,-200.0,-310.0116622009565,0.432,0.22417037860458294,-72.00000000000001,1.1764722900600482,150.0,-14.85227330286159,False,False,overactive,4
48,6,10,3,50.0,60.0,0.43764665038558836,0.22394620822597835,16.380000000000003,1.2,200.0,45.14772669713841,False,True,overactive,4
48,6,11,0,100.0,120.0,0.432,0.2237222620177524,45.005461086563045,1.2,300.0,165.1477266971384,False,False,overactive,4
48,6,12,3,50.0,60.0,0.432,0.22349853975573464,18.000000000000004,1.2,350.0,225.1477266971384,False,False,overactive,4
48,6,13,2,-200.0,-329.7583176728501,0.432,0.2232750412159789,-72.00000000000001,1.1770294060424948,150.0,-104.61059097571172,False,False,overactive,4
48,6,14,2,50.0,60.0,0.43751294254980116,0.22305176617476294,18.000000000000004,1.2,200.0,-44.610590975711716,False,False,overactive,4
48,6,15,3,-200.0,-291.45325660134375,0.432,0.22282871440858817,-72.00000000000001,1.1765072722601135,0.0,-336.06384757705547,False,False,overactive,4
48,6,16,2,50.0,60.0,0.4376382546575727,0.22260588569417958,18.000000000000004,1.2,50.0,-276.06384757705547,False,True,overactive,4
48,6,17,3,50.0,60.0,0.432,0.2223832798084854,18.000000000000004,1.2,100.0,-216.06384757705547,False,False,overactive,4
48,6,18,0,-200.0,-242.22526349213302,0.432,0.22216089652867693,-72.00000000000001,1.1770073544686004,-100.0,-458.2891110691885,False,False,overactive,4
48,6,19,2,-200.0,-242.34743641956516,0.43751823492753583,0.22193873563214825,-72.00000000000001,1.1543417512754905,-300.0,-700.6365474887536,False,True,overactive,4
48,6,20,0,100.0,120.0,0.44295797969388223,0.2217167968965161,36.00000000000001,1.2,-200.0,-580.6365474887536,False,True,overactive,4
48,7,1,0,100.0,110.0919511175656,0.49199999999999994,0.2214950800996196,33.39141901631811,1.001839022351312,100.0,110.0919511175656,,,overactive,4
48,7,2,1,100.0,112.55254152638577,0.47955863463568504,0.22127358501952,27.109760891962896,1.051050830527715,200.0,222.64449264395137,False,False,overactive,4
48,7,3,0,100.0,115.04858781810374,0.46774780067334837,0.22105231143450046,24.768221089117134,1.100971756362075,300.0,337.6930804620551,False,False,overactive,4
48,7,4,2,50.0,58.71443270358871,0.455766778473102,0.22083125912306598,12.403616724492068,1.1485773081435484,350.0,396.4075131656438,False,False,overactive,4
48,7,5,0,100.0,119.79504709870628,0.4443414460455483,0.22061042786394292,52.25981098752044,1.1959009419741258,450.0,516.20256026435,False,False,overactive,4
48,7,6,0,100.0,120.0,0.4329837739262098,0.22038981743607897,54.72877467767164,1.2,550.0,636.20256026435,True,False,overactive,4
48,7,7,3,-200.0,-300.3671693480701,0.432,0.2201694276186429,-72.00000000000001,1.1768506309824194,350.0,335.83539091627995,False,False,overactive,4
48,7,8,1,-200.0,-332.0836876051677,0.4375558485642193,0.21994925819102423,-72.00000000000001,1.1541894085833082,150.0,3.7517033111122373,False,True,overactive,4
48,7,9,0,-200.0,-288.2362745139515,0.442994541940006,0.2197293089328332,-72.00000000000001,1.132595489613999,-50.0,-284.4845712028393,False,True,overactive,4
48,7,10,2,-200.0,-333.43953365214804,0.4481770824926402,0.21950957962390039,-72.00000000000001,1.1114102043507426,-250.0,-617.9241048549873,False,True,overactive,4
48,7,11,1,100.0,117.84083842693627,0.4532615509558217,0.21929007004427647,36.00000000000001,1.1568167685387256,-150.0,-500.083266428051,False,True,overactive,4
48,7,12,3,50.0,60.0,0.4423639755507058,0.2190707799742322,18.000000000000004,1.2,-100.0,-440.083266428051,False,False,overactive,4
