agent,trial,episode,deck,reward,cumulative_reward,win_stay,lose_shift,condition,seed
1,10,10,3,-2.5,3.5,0.0,0.0,depleted,0
1,11,10,3,0.5,4.0,0.0,0.0,depleted,0
1,12,10,3,-2.5,1.5,1.0,0.0,depleted,0
1,13,10,1,1.0,2.5,0.0,1.0,depleted,0
1,14,10,0,1.0,3.5,0.0,0.0,depleted,0
1,15,10,2,0.5,4.0,0.0,0.0,depleted,0
1,16,10,3,0.5,4.5,0.0,0.0,depleted,0
1,17,10,1,1.0,5.5,0.0,0.0,depleted,0
1,18,10,3,0.5,6.0,0.0,0.0,depleted,0
1,19,10,1,-2.5,3.5,0.0,0.0,depleted,0
1,20,10,3,0.5,4.0,0.0,1.0,depleted,0
2,1,1,3,0.5,0.5,,,depleted,0
2,2,1,2,0.5,1.0,0.0,0.0,depleted,0
2,3,1,2,0.5,1.5,1.0,0.0,depleted,0
2,4,1,1,1.0,2.5,0.0,0.0,depleted,0
2,5,1,1,1.0,3.5,1.0,0.0,depleted,0
2,6,1,0,1.0,4.5,0.0,0.0,depleted,0
2,7,1,0,1.0,5.5,1.0,0.0,depleted,0
2,8,1,0,1.0,6.5,1.0,0.0,depleted,0
2,9,1,0,1.0,7.5,1.0,0.0,depleted,0
2,10,1,3,0.5,8.0,0.0,0.0,depleted,0
2,11,1,2,0.5,8.5,0.0,0.0,depleted,0
2,12,1,3,0.5,9.0,0.0,0.0,depleted,0
2,13,1,2,0.5,9.5,0.0,0.0,depleted,0
2,14,1,2,0.5,10.0,1.0,0.0,depleted,0
2,15,1,3,0.5,10.5,0.0,0.0,depleted,0
2,16,1,2,-2.5,8.0,0.0,0.0,depleted,0
2,17,1,2,0.5,8.5,0.0,0.0,depleted,0
2,18,1,2,0.5,9.0,1.0,0.0,depleted,0
2,19,1,2,-2.5,6.5,1.0,0.0,depleted,0
2,20,1,3,0.5,7.0,0.0,1.0,depleted,0
2,1,2,1,1.0,1.0,,,depleted,0
2,2,2,3,0.5,1.5,0.0,0.0,depleted,0
2,3,2,2,0.5,2.0,0.0,0.0,depleted,0
2,4,2,0,1.0,3.0,0.0,0.0,depleted,0
2,5,2,1,1.0,4.0,0.0,0.0,depleted,0
2,6,2,3,0.5,4.5,0.0,0.0,depleted,0
2,7,2,2,0.5,5.0,0.0,0.0,depleted,0
2,8,2,0,1.0,6.0,0.0,0.0,depleted,0
2,9,2,3,0.5,6.5,0.0,0.0,depleted,0
