condition,agent,block,win_stay,lose_shift
healthy,34,3,0.2045,0.141
healthy,34,4,0.1975,0.165
healthy,34,5,0.2155,0.144
healthy,35,1,0.1645,0.1355
healthy,35,2,0.2045,0.1765
healthy,35,3,0.2045,0.141
healthy,35,4,0.1975,0.165
healthy,35,5,0.2155,0.144
healthy,36,1,0.1645,0.1355
healthy,36,2,0.2045,0.1765
healthy,36,3,0.2045,0.141
healthy,36,4,0.1975,0.165
healthy,36,5,0.2155,0.144
healthy,37,1,0.1645,0.1355
healthy,37,2,0.2045,0.1765
healthy,37,3,0.2045,0.141
healthy,37,4,0.1975,0.165
healthy,37,5,0.2155,0.144
healthy,38,1,0.1645,0.1355
healthy,38,2,0.2045,0.1765
healthy,38,3,0.2045,0.141
healthy,38,4,0.1975,0.165
healthy,38,5,0.2155,0.144
healthy,39,1,0.1645,0.1355
healthy,39,2,0.2045,0.1765
healthy,39,3,0.2045,0.141
healthy,39,4,0.1975,0.165
healthy,39,5,0.2155,0.144
healthy,40,1,0.1645,0.1355
healthy,40,2,0.2045,0.1765
healthy,40,3,0.2045,0.141
healthy,40,4,0.1975,0.165
healthy,40,5,0.2155,0.144
healthy,41,1,0.1645,0.1355
healthy,41,2,0.2045,0.1765
healthy,41,3,0.2045,0.141
healthy,41,4,0.1975,0.165
healthy,41,5,0.2155,0.144
healthy,42,1,0.1645,0.1355
healthy,42,2,0.2045,0.1765
healthy,42,3,0.2045,0.141
healthy,42,4,0.1975,0.165
healthy,42,5,0.2155,0.144
healthy,43,1,0.1645,0.1355
healthy,43,2,0.2045,0.1765
healthy,43,3,0.2045,0.141
healthy,43,4,0.1975,0.165
healthy,43,5,0.2155,0.144
healthy,44,1,0.1645,0.1355
healthy,44,2,0.2045,0.1765
healthy,44,3,0.2045,0.141
healthy,44,4,0.1975,0.165
healthy,44,5,0.2155,0.144
healthy,45,1,0.1645,0.1355
healthy,45,2,0.2045,0.1765
healthy,45,3,0.2045,0.141
healthy,45,4,0.1975,0.165
healthy,45,5,0.2155,0.144
healthy,46,1,0.1645,0.1355
healthy,46,2,0.2045,0.1765
healthy,46,3,0.2045,0.141
healthy,46,4,0.1975,0.165
healthy,46,5,0.2155,0.144
healthy,47,1,0.1645,0.1355
healthy,47,2,0.2045,0.1765
healthy,47,3,0.2045,0.141
healthy,47,4,0.1975,0.165
healthy,47,5,0.2155,0.144
healthy,48,1,0.1645,0.1355
healthy,48,2,0.2045,0.1765
healthy,48,3,0.2045,0.141
healthy,48,4,0.1975,0.165
healthy,48,5,0.2155,0.144
healthy,49,1,0.1645,0.1355
healthy,49,2,0.2045,0.1765
healthy,49,3,0.2045,0.141
healthy,49,4,0.1975,0.165
healthy,49,5,0.2155,0.144
healthy,50,1,0.1645,0.1355
healthy,50,2,0.2045,0.1765
healthy,50,3,0.2045,0.141
healthy,50,4,0.1975,0.165
healthy,50,5,0.2155,0.144
depleted,1,1,0.118,0.3875
depleted,1,2,0.13,0.3655
depleted,1,3,0.1205,0.373
depleted,1,4,0.113,0.3955
depleted,1,5,0.093,0.468
depleted,2,1,0.118,0.3875
depleted,2,2,0.13,0.3655
depleted,2,3,0.12,0.3735
depleted,2,4,0.114,0.3975
depleted,2,5,0.0905,0.469
depleted,3,1,0.118,0.3875
depleted,3,2,0.13,0.3655
depleted,3,3,0.1205,0.373
depleted,3,4,0.114,0.3975
depleted,3,5,0.0925,0.468
depleted,4,1,0.118,0.3875
depleted,4,2,0.13,0.3655
depleted,4,3,0.1205,0.373
depleted,4,4,0.114,0.3965
depleted,4,5,0.0925,0.4655
depleted,5,1,0.118,0.3875
depleted,5,2,0.13,0.3655
depleted,5,3,0.12,0.373
depleted,5,4,0.1135,0.396
depleted,5,5,0.0925,0.4655
depleted,6,1,0.117,0.3875
depleted,6,2,0.1295,0.3655
depleted,6,3,0.1205,0.373
depleted,6,4,0.1135,0.399
depleted,6,5,0.092,0.469
depleted,7,1,0.117,0.3875
depleted,7,2,0.1305,0.366
depleted,7,3,0.1205,0.3735
depleted,7,4,0.1135,0.3975
depleted,7,5,0.094,0.472
depleted,8,1,0.117,0.3875
depleted,8,2,0.1305,0.366
depleted,8,3,0.1205,0.373
depleted,8,4,0.115,0.3955
depleted,8,5,0.0935,0.4695
depleted,9,1,0.118,0.3875
depleted,9,2,0.13,0.3655
depleted,9,3,0.1205,0.3735
depleted,9,4,0.1135,0.398
depleted,9,5,0.091,0.471
depleted,10,1,0.117,0.3875
depleted,10,2,0.1305,0.366
depleted,10,3,0.12,0.373
depleted,10,4,0.1135,0.398
depleted,10,5,0.093,0.4695
depleted,11,1,0.118,0.3875
depleted,11,2,0.13,0.3655
depleted,11,3,0.1205,0.373
depleted,11,4,0.114,0.397
depleted,11,5,0.092,0.472
depleted,12,1,0.118,0.3875
depleted,12,2,0.13,0.3655
depleted,12,3,0.1205,0.373
depleted,12,4,0.113,0.3965
depleted,12,5,0.092,0.469
depleted,13,1,0.116,0.3875
depleted,13,2,0.13,0.366
depleted,13,3,0.1205,0.373
depleted,13,4,0.113,0.3995
depleted,13,5,0.095,0.4685
depleted,14,1,0.118,0.3875
depleted,14,2,0.13,0.3655
depleted,14,3,0.12,0.373
depleted,14,4,0.1135,0.3975
depleted,14,5,0.092,0.4695
depleted,15,1,0.118,0.3875
depleted,15,2,0.13,0.3655
depleted,15,3,0.1205,0.3735
depleted,15,4,0.113,0.3955
depleted,15,5,0.093,0.468
depleted,16,1,0.117,0.3875
depleted,16,2,0.1295,0.3655
depleted,16,3,0.1205,0.373
depleted,16,4,0.1125,0.399
depleted,16,5,0.0925,0.4655
depleted,17,1,0.118,0.3875
depleted,17,2,0.13,0.3655
depleted,17,3,0.1205,0.373
depleted,17,4,0.113,0.3965
depleted,17,5,0.092,0.4705
depleted,18,1,0.117,0.3875
depleted,18,2,0.1305,0.366
depleted,18,3,0.1205,0.373
depleted,18,4,0.1135,0.3965
depleted,18,5,0.0945,0.4695
depleted,19,1,0.118,0.3875
depleted,19,2,0.13,0.3655
depleted,19,3,0.12,0.3735
depleted,19,4,0.113,0.3975
depleted,19,5,0.0935,0.4675
depleted,20,1,0.117,0.3875
depleted,20,2,0.1295,0.3655
depleted,20,3,0.12,0.3735
depleted,20,4,0.113,0.401
depleted,20,5,0.094,0.4675
depleted,21,1,0.118,0.3875
depleted,21,2,0.13,0.3655
depleted,21,3,0.1205,0.373
depleted,21,4,0.1135,0.397
depleted,21,5,0.0915,0.4695
depleted,22,1,0.118,0.3875
depleted,22,2,0.13,0.3655
depleted,22,3,0.1205,0.373
depleted,22,4,0.114,0.3965
depleted,22,5,0.092,0.471
depleted,23,1,0.117,0.3875
depleted,23,2,0.1295,0.3655
depleted,23,3,0.1205,0.373
depleted,23,4,0.113,0.3995
depleted,23,5,0.092,0.4685
depleted,24,1,0.118,0.3875
depleted,24,2,0.13,0.3655
depleted,24,3,0.1205,0.373
depleted,24,4,0.1135,0.395
depleted,24,5,0.095,0.4675
depleted,25,1,0.118,0.3875
depleted,25,2,0.13,0.3655
depleted,25,3,0.12,0.373
depleted,25,4,0.113,0.3975
depleted,25,5,0.0945,0.4705
depleted,26,1,0.118,0.3875
depleted,26,2,0.13,0.3655
depleted,26,3,0.1205,0.373
depleted,26,4,0.112,0.395
depleted,26,5,0.093,0.47
depleted,27,1,0.118,0.3875
depleted,27,2,0.13,0.3655
depleted,27,3,0.1205,0.373
depleted,27,4,0.1135,0.3965
depleted,27,5,0.095,0.466
depleted,28,1,0.118,0.3875
depleted,28,2,0.13,0.3655
depleted,28,3,0.1205,0.373
depleted,28,4,0.113,0.398
depleted,28,5,0.093,0.4665
depleted,29,1,0.118,0.3875
depleted,29,2,0.13,0.3655
depleted,29,3,0.12,0.373
depleted,29,4,0.113,0.398
depleted,29,5,0.093,0.4675
depleted,30,1,0.118,0.3875
depleted,30,2,0.13,0.3655
depleted,30,3,0.1205,0.3725
depleted,30,4,0.114,0.3965
depleted,30,5,0.0925,0.466
depleted,31,1,0.117,0.3875
depleted,31,2,0.1305,0.366
depleted,31,3,0.1205,0.373
depleted,31,4,0.1155,0.397
depleted,31,5,0.0925,0.4705
depleted,32,1,0.118,0.3875
depleted,32,2,0.13,0.3655
depleted,32,3,0.1205,0.373
depleted,32,4,0.1135,0.3965
depleted,32,5,0.0915,0.466
depleted,33,1,0.118,0.3875
depleted,33,2,0.13,0.3655
depleted,33,3,0.1205,0.373
depleted,33,4,0.1135,0.399
depleted,33,5,0.0915,0.468
depleted,34,1,0.117,0.3875
depleted,34,2,0.1295,0.3655
depleted,34,3,0.1205,0.3725
depleted,34,4,0.1145,0.4
depleted,34,5,0.093,0.4665
depleted,35,1,0.118,0.3875
depleted,35,2,0.13,0.3655
depleted,35,3,0.12,0.373
depleted,35,4,0.1135,0.3985
depleted,35,5,0.093,0.468
depleted,36,1,0.118,0.3875
depleted,36,2,0.13,0.3655
depleted,36,3,0.1205,0.373
depleted,36,4,0.113,0.3955
depleted,36,5,0.0925,0.467
depleted,37,1,0.118,0.3875
depleted,37,2,0.13,0.3655
depleted,37,3,0.1205,0.373
depleted,37,4,0.112,0.3965
depleted,37,5,0.094,0.4645
depleted,38,1,0.117,0.3875
depleted,38,2,0.1295,0.3655
depleted,38,3,0.12,0.373
depleted,38,4,0.1125,0.399
depleted,38,5,0.094,0.4685
depleted,39,1,0.118,0.3875
depleted,39,2,0.13,0.3655
depleted,39,3,0.1205,0.3735
depleted,39,4,0.1135,0.396
depleted,39,5,0.0925,0.4665
depleted,40,1,0.118,0.3875
depleted,40,2,0.13,0.3655
depleted,40,3,0.1205,0.3735
depleted,40,4,0.112,0.398
depleted,40,5,0.0925,0.4715
depleted,41,1,0.118,0.3875
depleted,41,2,0.13,0.3655
depleted,41,3,0.1205,0.373
depleted,41,4,0.113,0.3965
depleted,41,5,0.092,0.467
depleted,42,1,0.118,0.3875
depleted,42,2,0.13,0.3655
depleted,42,3,0.1205,0.373
depleted,42,4,0.115,0.398
depleted,42,5,0.094,0.4675
depleted,43,1,0.118,0.3875
depleted,43,2,0.13,0.3655
depleted,43,3,0.12,0.373
depleted,43,4,0.113,0.398
depleted,43,5,0.092,0.4695
depleted,44,1,0.118,0.3875
depleted,44,2,0.13,0.3655
depleted,44,3,0.1205,0.373
depleted,44,4,0.114,0.3965
depleted,44,5,0.0915,0.466
depleted,45,1,0.118,0.3875
depleted,45,2,0.13,0.3655
depleted,45,3,0.1205,0.373
depleted,45,4,0.113,0.3975
depleted,45,5,0.0925,0.4685
depleted,46,1,0.118,0.3875
depleted,46,2,0.13,0.3655
depleted,46,3,0.1205,0.373
depleted,46,4,0.1125,0.397
depleted,46,5,0.091,0.4695
depleted,47,1,0.118,0.3875
depleted,47,2,0.13,0.3655
depleted,47,3,0.1205,0.373
depleted,47,4,0.1135,0.3985
depleted,47,5,0.0915,0.469
depleted,48,1,0.118,0.3875
depleted,48,2,0.13,0.3655
depleted,48,3,0.1205,0.373
depleted,48,4,0.1135,0.399
depleted,48,5,0.093,0.4675
depleted,49,1,0.118,0.3875
depleted,49,2,0.13,0.3655
depleted,49,3,0.1205,0.373
depleted,49,4,0.113,0.3955
depleted,49,5,0.0925,0.466
depleted,50,1,0.118,0.3875
depleted,50,2,0.13,0.3655
depleted,50,3,0.12,0.373
depleted,50,4,0.1125,0.397
depleted,50,5,0.0915,0.4695
overactive,1,1,0.2145,0.1465
overactive,1,2,0.192,0.1665
overactive,1,3,0.2055,0.14
overactive,1,4,0.2075,0.1495
overactive,1,5,0.19,0.167
overactive,2,1,0.2145,0.1465
overactive,2,2,0.192,0.1665
overactive,2,3,0.2055,0.14
overactive,2,4,0.2075,0.1495
