condition,agent,block,cumulative_perceived_reward
depleted,3,4,472.1354495761051
depleted,3,5,613.0491720848412
depleted,4,1,96.31438076365001
depleted,4,2,231.8069277118815
depleted,4,3,345.2131964178618
depleted,4,4,472.40054181974773
depleted,4,5,613.6942042155872
depleted,5,1,94.94542279604772
depleted,5,2,231.34377731487612
depleted,5,3,345.37736684341314
depleted,5,4,473.2469793081068
depleted,5,5,614.3352124196873
depleted,6,1,94.87152662478941
depleted,6,2,228.41877787068265
depleted,6,3,344.75884988527883
depleted,6,4,473.8924838232856
depleted,6,5,614.656045274001
depleted,7,1,95.30326832217408
depleted,7,2,231.75223159836315
depleted,7,3,346.2609924609937
depleted,7,4,474.46773108628577
depleted,7,5,616.6343923250441
depleted,8,1,94.63158068220022
depleted,8,2,229.2374116566316
depleted,8,3,342.410378152537
depleted,8,4,469.6718479395214
depleted,8,5,609.9676932814025
depleted,9,1,94.48403772351989
depleted,9,2,229.60794256860322
depleted,9,3,343.11382250193316
depleted,9,4,471.57227655731424
depleted,9,5,612.9963108111411
depleted,10,1,95.17790768067887
depleted,10,2,230.39683129494446
depleted,10,3,343.7762469786172
depleted,10,4,472.13407410203
depleted,10,5,614.8679681086209
depleted,11,1,94.25001779179347
depleted,11,2,229.72918767606225
depleted,11,3,343.86356900327496
depleted,11,4,471.58801535353143
depleted,11,5,614.2498231498853
depleted,12,1,94.62343781165141
depleted,12,2,228.76494268973488
depleted,12,3,342.26570178249165
depleted,12,4,470.33758361224835
depleted,12,5,611.3235392570974
depleted,13,1,95.68152893665918
depleted,13,2,228.2993307964926
depleted,13,3,343.7222744755193
depleted,13,4,470.95716153570754
depleted,13,5,612.1220576502134
depleted,14,1,94.15720931470182
depleted,14,2,230.28653038787115
depleted,14,3,344.3927248942518
depleted,14,4,472.69321204036123
depleted,14,5,614.5170482574207
depleted,15,1,93.99133246839547
depleted,15,2,228.54723265459455
depleted,15,3,341.5309822306273
depleted,15,4,469.39348444857717
depleted,15,5,609.5007117176622
depleted,16,1,95.80042373790442
depleted,16,2,229.24702459829533
depleted,16,3,344.95395866134106
depleted,16,4,473.4730990151678
depleted,16,5,614.5084829426514
depleted,17,1,95.31315341420813
depleted,17,2,231.33682303744234
depleted,17,3,345.36168162699073
depleted,17,4,473.72980999957224
depleted,17,5,615.6935310129165
depleted,18,1,94.55693279555098
depleted,18,2,230.41129610017802
depleted,18,3,343.82359776776417
depleted,18,4,471.8439123551407
depleted,18,5,613.5934577149746
depleted,19,1,94.65814498918783
depleted,19,2,230.09316647012733
depleted,19,3,343.35313014472024
depleted,19,4,471.284876311212
depleted,19,5,611.7980282466204
depleted,20,1,94.65876504078177
depleted,20,2,227.89730273152446
depleted,20,3,343.5631136067526
depleted,20,4,471.80770825963356
depleted,20,5,611.8924761017935
depleted,21,1,93.64691281312368
depleted,21,2,228.5941709141734
depleted,21,3,343.5048163559471
depleted,21,4,471.41790963715056
depleted,21,5,613.0489232395098
depleted,22,1,94.65587599832409
depleted,22,2,230.13958782019887
depleted,22,3,344.2796430137412
