condition,agent,block,win_stay,lose_shift
depleted,10,2,0.2075,0.1605
depleted,10,3,0.201,0.1375
depleted,10,4,0.2,0.151
depleted,10,5,0.217,0.1445
depleted,11,1,0.1925,0.1475
depleted,11,2,0.2075,0.1605
depleted,11,3,0.201,0.1375
depleted,11,4,0.2,0.151
depleted,11,5,0.217,0.1445
depleted,12,1,0.1925,0.1475
depleted,12,2,0.2075,0.1605
depleted,12,3,0.201,0.1375
depleted,12,4,0.2,0.151
depleted,12,5,0.217,0.1445
depleted,13,1,0.1925,0.1475
depleted,13,2,0.2075,0.1605
depleted,13,3,0.201,0.1375
depleted,13,4,0.2,0.151
depleted,13,5,0.217,0.1445
depleted,14,1,0.1925,0.1475
depleted,14,2,0.2075,0.1605
depleted,14,3,0.201,0.1375
depleted,14,4,0.2,0.151
depleted,14,5,0.217,0.1445
depleted,15,1,0.1925,0.1475
depleted,15,2,0.2075,0.1605
depleted,15,3,0.201,0.1375
depleted,15,4,0.2,0.151
depleted,15,5,0.217,0.1445
depleted,16,1,0.1925,0.1475
depleted,16,2,0.2075,0.1605
depleted,16,3,0.201,0.1375
depleted,16,4,0.2,0.151
depleted,16,5,0.217,0.1445
depleted,17,1,0.1925,0.1475
depleted,17,2,0.2075,0.1605
depleted,17,3,0.201,0.1375
depleted,17,4,0.2,0.151
depleted,17,5,0.217,0.1445
depleted,18,1,0.1925,0.1475
depleted,18,2,0.2075,0.1605
depleted,18,3,0.201,0.1375
depleted,18,4,0.2,0.151
depleted,18,5,0.217,0.1445
depleted,19,1,0.1925,0.1475
depleted,19,2,0.2075,0.1605
depleted,19,3,0.201,0.1375
depleted,19,4,0.2,0.151
depleted,19,5,0.217,0.1445
depleted,20,1,0.1925,0.1475
depleted,20,2,0.2075,0.1605
depleted,20,3,0.201,0.1375
depleted,20,4,0.2,0.151
depleted,20,5,0.217,0.1445
depleted,21,1,0.1925,0.1475
depleted,21,2,0.2075,0.1605
depleted,21,3,0.201,0.1375
depleted,21,4,0.2,0.151
depleted,21,5,0.217,0.1445
depleted,22,1,0.1925,0.1475
depleted,22,2,0.2075,0.1605
depleted,22,3,0.201,0.1375
depleted,22,4,0.2,0.151
depleted,22,5,0.217,0.1445
depleted,23,1,0.1925,0.1475
depleted,23,2,0.2075,0.1605
depleted,23,3,0.201,0.1375
depleted,23,4,0.2,0.151
depleted,23,5,0.217,0.1445
depleted,24,1,0.1925,0.1475
depleted,24,2,0.2075,0.1605
depleted,24,3,0.201,0.1375
depleted,24,4,0.2,0.151
depleted,24,5,0.217,0.1445
depleted,25,1,0.1925,0.1475
depleted,25,2,0.2075,0.1605
depleted,25,3,0.201,0.1375
depleted,25,4,0.2,0.151
depleted,25,5,0.217,0.1445
depleted,26,1,0.1925,0.1475
depleted,26,2,0.2075,0.1605
depleted,26,3,0.201,0.1375
depleted,26,4,0.2,0.151
depleted,26,5,0.217,0.1445
depleted,27,1,0.1925,0.1475
depleted,27,2,0.2075,0.1605
depleted,27,3,0.201,0.1375
depleted,27,4,0.2,0.151
depleted,27,5,0.217,0.1445
depleted,28,1,0.1925,0.1475
depleted,28,2,0.2075,0.1605
depleted,28,3,0.201,0.1375
depleted,28,4,0.2,0.151
depleted,28,5,0.217,0.1445
depleted,29,1,0.1925,0.1475
depleted,29,2,0.2075,0.1605
depleted,29,3,0.201,0.1375
depleted,29,4,0.2,0.151
depleted,29,5,0.217,0.1445
depleted,30,1,0.1925,0.1475
depleted,30,2,0.2075,0.1605
depleted,30,3,0.201,0.1375
depleted,30,4,0.2,0.151
depleted,30,5,0.217,0.1445
depleted,31,1,0.1925,0.1475
depleted,31,2,0.2075,0.1605
depleted,31,3,0.201,0.1375
depleted,31,4,0.2,0.151
depleted,31,5,0.217,0.1445
depleted,32,1,0.1925,0.1475
depleted,32,2,0.2075,0.1605
depleted,32,3,0.201,0.1375
depleted,32,4,0.2,0.151
depleted,32,5,0.217,0.1445
depleted,33,1,0.1925,0.1475
depleted,33,2,0.2075,0.1605
depleted,33,3,0.201,0.1375
depleted,33,4,0.2,0.151
depleted,33,5,0.217,0.1445
depleted,34,1,0.1925,0.1475
depleted,34,2,0.2075,0.1605
depleted,34,3,0.201,0.1375
depleted,34,4,0.2,0.151
depleted,34,5,0.217,0.1445
depleted,35,1,0.1925,0.1475
depleted,35,2,0.2075,0.1605
depleted,35,3,0.201,0.1375
depleted,35,4,0.2,0.151
depleted,35,5,0.217,0.1445
depleted,36,1,0.1925,0.1475
depleted,36,2,0.2075,0.1605
depleted,36,3,0.201,0.1375
depleted,36,4,0.2,0.151
depleted,36,5,0.217,0.1445
depleted,37,1,0.1925,0.1475
depleted,37,2,0.2075,0.1605
depleted,37,3,0.201,0.1375
depleted,37,4,0.2,0.151
depleted,37,5,0.217,0.1445
depleted,38,1,0.1925,0.1475
depleted,38,2,0.2075,0.1605
depleted,38,3,0.201,0.1375
depleted,38,4,0.2,0.151
depleted,38,5,0.217,0.1445
depleted,39,1,0.1925,0.1475
depleted,39,2,0.2075,0.1605
depleted,39,3,0.201,0.1375
depleted,39,4,0.2,0.151
depleted,39,5,0.217,0.1445
depleted,40,1,0.1925,0.1475
depleted,40,2,0.2075,0.1605
depleted,40,3,0.201,0.1375
depleted,40,4,0.2,0.151
depleted,40,5,0.217,0.1445
depleted,41,1,0.1925,0.1475
depleted,41,2,0.2075,0.1605
depleted,41,3,0.201,0.1375
depleted,41,4,0.2,0.151
depleted,41,5,0.217,0.1445
depleted,42,1,0.1925,0.1475
