condition,agent,block,cumulative_reward
depleted,26,2,4.5
depleted,26,3,8.7
depleted,26,4,7.95
depleted,26,5,10.975
depleted,27,1,3.925
depleted,27,2,4.5
depleted,27,3,8.7
depleted,27,4,7.95
depleted,27,5,10.975
depleted,28,1,3.925
depleted,28,2,4.5
depleted,28,3,8.7
depleted,28,4,7.95
depleted,28,5,10.975
depleted,29,1,3.925
depleted,29,2,4.5
depleted,29,3,8.7
depleted,29,4,7.95
depleted,29,5,10.975
depleted,30,1,3.925
depleted,30,2,4.5
depleted,30,3,8.7
depleted,30,4,7.95
depleted,30,5,10.975
depleted,31,1,3.925
depleted,31,2,4.5
depleted,31,3,8.7
depleted,31,4,7.95
depleted,31,5,10.975
depleted,32,1,3.925
depleted,32,2,4.5
depleted,32,3,8.7
depleted,32,4,7.95
depleted,32,5,10.975
depleted,33,1,3.925
depleted,33,2,4.5
depleted,33,3,8.7
depleted,33,4,7.95
depleted,33,5,10.975
depleted,34,1,3.925
depleted,34,2,4.5
depleted,34,3,8.7
depleted,34,4,7.95
depleted,34,5,10.975
depleted,35,1,3.925
depleted,35,2,4.5
depleted,35,3,8.7
depleted,35,4,7.95
depleted,35,5,10.975
depleted,36,1,3.925
depleted,36,2,4.5
depleted,36,3,8.7
depleted,36,4,7.95
depleted,36,5,10.975
depleted,37,1,3.925
depleted,37,2,4.5
depleted,37,3,8.7
depleted,37,4,7.95
depleted,37,5,10.975
depleted,38,1,3.925
depleted,38,2,4.5
depleted,38,3,8.7
depleted,38,4,7.95
depleted,38,5,10.975
depleted,39,1,3.925
depleted,39,2,4.5
depleted,39,3,8.7
depleted,39,4,7.95
depleted,39,5,10.975
depleted,40,1,3.925
depleted,40,2,4.5
depleted,40,3,8.7
depleted,40,4,7.95
depleted,40,5,10.975
depleted,41,1,3.925
depleted,41,2,4.5
depleted,41,3,8.7
depleted,41,4,7.95
depleted,41,5,10.975
depleted,42,1,3.925
depleted,42,2,4.5
depleted,42,3,8.7
depleted,42,4,7.95
depleted,42,5,10.975
depleted,43,1,3.925
depleted,43,2,4.5
depleted,43,3,8.7
depleted,43,4,7.95
depleted,43,5,10.975
depleted,44,1,3.925
depleted,44,2,4.5
depleted,44,3,8.7
depleted,44,4,7.95
depleted,44,5,10.975
depleted,45,1,3.925
depleted,45,2,4.5
depleted,45,3,8.7
depleted,45,4,7.95
depleted,45,5,10.975
depleted,46,1,3.925
depleted,46,2,4.5
depleted,46,3,8.7
depleted,46,4,7.95
depleted,46,5,10.975
depleted,47,1,3.925
depleted,47,2,4.5
depleted,47,3,8.7
depleted,47,4,7.95
depleted,47,5,10.975
depleted,48,1,3.925
depleted,48,2,4.5
depleted,48,3,8.7
depleted,48,4,7.95
depleted,48,5,10.975
depleted,49,1,3.925
depleted,49,2,4.5
depleted,49,3,8.7
depleted,49,4,7.95
depleted,49,5,10.975
depleted,50,1,3.925
depleted,50,2,4.5
depleted,50,3,8.7
depleted,50,4,7.95
depleted,50,5,10.975
overactive,1,1,3.925
overactive,1,2,4.5
overactive,1,3,8.7
overactive,1,4,7.95
overactive,1,5,10.975
overactive,2,1,3.925
overactive,2,2,4.5
overactive,2,3,8.7
overactive,2,4,7.95
overactive,2,5,10.975
overactive,3,1,3.925
overactive,3,2,4.5
overactive,3,3,8.7
overactive,3,4,7.95
overactive,3,5,10.975
overactive,4,1,3.925
overactive,4,2,4.5
overactive,4,3,8.7
overactive,4,4,7.95
overactive,4,5,10.975
overactive,5,1,3.925
overactive,5,2,4.5
overactive,5,3,8.7
overactive,5,4,7.95
overactive,5,5,10.975
overactive,6,1,3.925
overactive,6,2,4.5
overactive,6,3,8.7
overactive,6,4,7.95
overactive,6,5,10.975
overactive,7,1,3.925
overactive,7,2,4.5
overactive,7,3,8.7
overactive,7,4,7.95
overactive,7,5,10.975
overactive,8,1,3.925
overactive,8,2,4.5
overactive,8,3,8.7
overactive,8,4,7.95
overactive,8,5,10.975
overactive,9,1,3.925
overactive,9,2,4.5
overactive,9,3,8.7
overactive,9,4,7.95
overactive,9,5,10.975
overactive,10,1,3.925
overactive,10,2,4.5
overactive,10,3,8.7
overactive,10,4,7.95
overactive,10,5,10.975
overactive,11,1,3.925
overactive,11,2,4.5
overactive,11,3,8.7
overactive,11,4,7.95
overactive,11,5,10.975
overactive,12,1,3.925
overactive,12,2,4.5
overactive,12,3,8.7
overactive,12,4,7.95
overactive,12,5,10.975
overactive,13,1,3.925
overactive,13,2,4.5
overactive,13,3,8.7
overactive,13,4,7.95
overactive,13,5,10.975
overactive,14,1,3.925
overactive,14,2,4.5
overactive,14,3,8.7
overactive,14,4,7.95
overactive,14,5,10.975
overactive,15,1,3.925
overactive,15,2,4.5
overactive,15,3,8.7
overactive,15,4,7.95
overactive,15,5,10.975
overactive,16,1,3.925
overactive,16,2,4.5
overactive,16,3,8.7
overactive,16,4,7.95
overactive,16,5,10.975
overactive,17,1,3.925
overactive,17,2,4.5
overactive,17,3,8.7
overactive,17,4,7.95
overactive,17,5,10.975
overactive,18,1,3.925
overactive,18,2,4.5
overactive,18,3,8.7
overactive,18,4,7.95
overactive,18,5,10.975
overactive,19,1,3.925
overactive,19,2,4.5
overactive,19,3,8.7
overactive,19,4,7.95
overactive,19,5,10.975
overactive,20,1,3.925
overactive,20,2,4.5
overactive,20,3,8.7
overactive,20,4,7.95
overactive,20,5,10.975
overactive,21,1,3.925
overactive,21,2,4.5
overactive,21,3,8.7
overactive,21,4,7.95
overactive,21,5,10.975
overactive,22,1,3.925
overactive,22,2,4.5
overactive,22,3,8.7
overactive,22,4,7.95
overactive,22,5,10.975
overactive,23,1,3.925
overactive,23,2,4.5
overactive,23,3,8.7
overactive,23,4,7.95
overactive,23,5,10.975
overactive,24,1,3.925
overactive,24,2,4.5
overactive,24,3,8.7
overactive,24,4,7.95
overactive,24,5,10.975
overactive,25,1,3.925
overactive,25,2,4.5
overactive,25,3,8.7
overactive,25,4,7.95
overactive,25,5,10.975
overactive,26,1,3.925
